0	11.01	5.48	11.5
0	0.57	5.26	1.06
0	3.89	4.37	4.38
0	2.49	3.55	2.98
0	1.19	3.52	1.68
0.01	0.024	3.47	0.48
0	0.94	1.62	1.44
0	0.93	0.65	1.42
0	0.43	-0.07	0.92
0.11	0.019	-1.35	0.38
0	0.88	-1.79	1.48
0	0.01	-1.75	0.5
0	2.13	1.14	2.62
0	0.15	2.3	0.64
0	0.41	3.65	0.9
0	1.69	0.51	2.18
0.13	0.018	1.86	0.36
0	3.52	3.4	4.14
0.31	0.009	4.58	0.18
0	2.54	1.73	3.34
0.17	0.016	1.91	0.32
0.58	0.004	2.76	0.08
0.97	0.005	4.94	0.1
0.44	0.051	4.07	1.02
0.75	0.009	0.92	0.18
1.2	0.002	1.47	0.04
0	0.81	1.21	2.5
0.09	0.02	2.21	0.4
0	0.18	3.98	0.76
0.49	0	5.56	0
0.94	0.002	4.78	0.04
1.49	0.004	4.2	0.08
2.12	0	4.51	0
2.67	0.004	8.83	0.08
0	1.42	6.17	4.72
0	1.41	1.75	2.04
0	2.67	1.53	3.3
0	0.69	-2.03	1.32
0	4.23	-4.81	4.86
0	4.65	-2.85	5.28
0	2.01	0.08	2.64
0	0.13	2.29	0.76
0	0.55	1.89	1.18
0.41	0.011	1.6	0.22
1.02	0.001	3.03	0.02
0	2.23	5.67	3.88
0	2.05	0.91	2.68
0	0.59	1.05	1.22
0.11	0.026	3.96	0.52
0.44	0.015	5.06	0.3
0	3.81	3.21	4.88
0	3.29	2.27	3.92
0	8.15	0.44	8.78
0.53	0.005	0.86	0.1
0.3	0.043	0.36	0.86
0.85	0.004	3.44	0.08
1.32	0.008	4.49	0.16
1.33	0.031	2.68	0.62
0.66	0.065	2.6	1.3
1.45	0.02	3	0.4
0.2	0.122	1.36	2.44
0	10.73	2.16	12.12
0	1.45	1.66	2.64
0	1.35	1.91	2.54
0	1.15	2.14	2.34
1.15	0.002	2.39	0.04
1.84	0.025	1.49	0.5
2.03	0.05	1.15	1
3.22	0	1.63	0
4.31	0.005	3.04	0.1
4.3	0.06	5.27	1.2
5.13	0.018	5.75	0.36
6.32	0	5.73	0
6.97	0.027	7.93	0.54
8.16	0	10.43	0
9.33	0.001	12.84	0.02
10.06	0.023	5.97	0.46
11.21	0.002	5.5	0.04
8.18	0.211	6.62	4.22
6.75	0.131	5.84	2.62
0	0.34	3.24	8.28
0	0.41	5.22	1.6
1.17	0.001	7.15	0.02
2.36	0	5.88	0
3.39	0.008	3	0.16
4.58	0	2.68	0
4.79	0.049	1.87	0.98
5.02	0.048	7.36	0.96
6.19	0.001	8.73	0.02
7.38	0	5.78	0
8.98	0	9.15	0
10.54	0.002	7.2	0.04
12.14	0	8.72	0
13.48	0.013	7.49	0.26
11.52	0.178	10.76	3.56
12.12	0.05	8.75	1
13.06	0.033	9.56	0.66
14.66	0	10.47	0
16.26	0	12.31	0
17.74	0.006	9.79	0.12
18.94	0.02	6.71	0.4
11.82	0.436	5.53	8.72
11.68	0.087	1.43	1.74
0	3.1	-0.51	16.38
0	2.72	2.21	4.32
0.34	0.063	0.96	1.26
1.56	0.019	2.26	0.38
2	0.058	2.56	1.16
1.54	0.103	2.8	2.06
0	27.94	4.41	31.08
0	0.68	6.17	2.28
0.76	0.042	8.94	0.84
2.3	0.003	6.78	0.06
3.9	0	7.33	0
5.16	0.017	8.14	0.34
6.76	0	9.1	0
8.36	0	12.28	0
9.96	0	9.94	0
11.56	0	13.8	0
13.16	0	9	0
15.58	0	7.66	0
18	0	8.82	0
20.42	0	11.15	0
22.84	0	9.49	0
25.26	0	8.58	0
25.02	0.133	8.02	2.66
21.82	0.281	7.68	5.62
17.44	0.34	8.79	6.8
16.86	0.15	10.04	3
16.24	0.152	12.29	3.04
17.58	0.054	9.14	1.08
17.18	0.141	10.14	2.82
19.36	0.012	9.14	0.24
21.64	0.007	9.71	0.14
23.02	0.052	9.62	1.04
25.28	0.008	8.99	0.16
27.7	0	7.97	0
30.12	0	7.05	0
32.5	0.002	8.73	0.04
34.8	0.006	10.55	0.12
34.62	0.13	11.08	2.6
37.04	0	8.31	0
39.42	0.002	11.41	0.04
41.72	0.006	9.65	0.12
44.1	0.002	10.32	0.04
46.52	0	13.05	0
48.6	0.017	12.78	0.34
36.1	0.746	10.58	14.92
32.8	0.286	7.69	5.72
35.22	0	7.56	0
37.64	0	9.41	0
40.23	0	13.34	0
38.08	0.237	13.33	4.74
34.59	0.304	9.48	6.08
19.82	0.868	9.79	17.36
9.53	0.644	9.07	12.88
1.84	0.514	8.08	10.28
2.35	0.104	8.58	2.08
4.88	0.003	8.76	0.06
7.47	0	9.35	0
9.6	0.023	10.02	0.46
11.87	0.016	8.95	0.32
8.88	0.279	9.74	5.58
8.73	0.137	11.22	2.74
11.18	0.007	13.98	0.14
13.71	0.003	11.74	0.06
14.92	0.069	14.7	1.38
17.49	0.001	11.4	0.02
19	0.054	14.21	1.08
18.17	0.171	13.19	3.42
19.04	0.086	9.84	1.72
19.79	0.092	8.75	1.84
22.36	0.001	6.88	0.02
24.95	0	9.47	0
27.54	0	13.08	0
30.13	0	14.74	0
32.58	0.007	14.17	0.14
14.67	8.2	12.58	20.5
13.38	0.194	12.32	3.88
14.03	0.097	11.48	1.94
15.62	0.05	12.44	1
18.46	0.001	13.8	0.02
20.76	0.028	13.23	0.56
14.22	0.47	14.26	9.4
9.64	0.372	15.37	7.44
0	3.24	14.29	15.74
0	2.14	14.46	5
0	1.42	15.75	4.28
2.82	0.002	18.48	0.04
5.68	0	16.86	0
0	3.04	16.28	11.58
2.84	0.001	16.09	0.02
5.6	0.005	17.1	0.1
7.88	0.029	14.45	0.58
9.48	0.063	12.6	1.26
12.08	0.013	11.3	0.26
13.34	0.08	13.52	1.6
15.48	0.036	13.04	0.72
16.04	0.115	12.5	2.3
