0.00	1.650	2.91	1.96
0.00	0.090	4.37	0.40
0.00	2.670	2.53	2.98
0.00	4.410	-0.57	4.72
0.00	3.830	-1.18	4.14
0.00	1.110	-2.74	1.42
0.00	0.650	0.17	0.96
0.00	1.510	3.89	1.82
0.00	4.750	2.62	5.06
0.00	0.330	0.62	0.64
0.00	7.870	2.41	8.18
0.00	3.890	-0.89	4.20
0.00	1.530	1.17	1.84
0.00	8.410	2.04	8.72
0.00	2.210	-1.89	2.52
0.00	9.730	-5.16	10.04
0.00	2.310	-4.34	2.62
0.00	1.330	-2.26	1.64
0.00	1.410	0.54	1.72
0.00	0.570	1.63	0.88
0.00	0.890	4.36	1.20
0.23	0.004	4.38	0.08
0.54	0.000	5.59	0.00
0.53	0.016	3.68	0.32
0.00	4.320	2.42	5.16
0.00	4.630	4.16	4.94
0.27	0.002	6.02	0.04
0.56	0.001	5.13	0.02
0.87	0.000	7.23	0.00
1.18	0.000	8.59	0.00
1.49	0.000	8.49	0.00
0.00	0.700	8.38	2.80
0.00	5.290	6.07	5.90
0.19	0.021	2.13	0.42
0.16	0.032	0.73	0.64
0.00	0.050	5.25	0.82
0.00	1.170	7.32	1.78
0.00	0.290	6.66	0.90
0.59	0.001	3.14	0.02
1.20	0.000	-0.55	0.00
1.81	0.000	-0.39	0.00
1.82	0.030	-0.37	0.60
2.35	0.004	2.08	0.08
2.96	0.000	4.71	0.00
3.57	0.000	3.37	0.00
4.18	0.000	2.44	0.00
4.79	0.000	1.00	0.00
5.40	0.000	0.57	0.00
6.01	0.000	0.89	0.00
6.58	0.002	-0.26	0.04
6.99	0.010	-0.11	0.20
6.88	0.036	-0.83	0.72
5.95	0.077	-0.37	1.54
3.68	0.144	-1.20	2.88
4.13	0.008	-1.28	0.16
4.72	0.001	-0.52	0.02
5.29	0.002	0.70	0.04
4.80	0.055	1.38	1.10
0.00	17.530	1.41	22.94
0.00	6.970	0.01	7.88
0.01	0.045	0.40	0.90
0.84	0.004	0.98	0.08
1.75	0.000	1.85	0.00
0.00	2.080	0.37	4.74
0.00	2.470	3.16	3.38
0.87	0.002	6.04	0.04
1.74	0.002	8.44	0.04
1.67	0.049	4.51	0.98
0.00	0.960	6.29	3.54
0.89	0.001	8.44	0.02
1.68	0.006	9.81	0.12
0.00	2.850	5.45	5.44
0.00	0.130	4.71	1.04
0.00	0.670	3.32	1.58
0.00	1.910	1.11	2.82
0.61	0.015	2.75	0.30
1.48	0.002	2.08	0.04
2.15	0.012	2.66	0.24
0.00	1.780	3.13	4.84
0.00	3.250	0.87	4.16
0.55	0.018	-0.54	0.36
0.00	0.620	0.49	2.08
0.00	8.170	3.83	9.08
0.00	1.250	8.37	2.16
0.73	0.009	7.16	0.18
0.00	3.240	5.35	4.88
0.00	1.950	7.39	2.86
0.89	0.001	6.04	0.02
1.80	0.000	7.94	0.00
2.65	0.003	6.14	0.06
3.80	0.034	5.35	0.68
5.63	0.000	6.81	0.00
7.46	0.000	5.49	0.00
8.83	0.023	7.08	0.46
10.64	0.001	6.60	0.02
12.43	0.002	4.39	0.04
13.86	0.020	5.38	0.40
15.69	0.000	6.63	0.00
17.52	0.000	8.98	0.00
19.35	0.000	10.08	0.00
18.40	0.139	6.00	2.78
20.23	0.000	6.45	0.00
22.06	0.000	4.59	0.00
23.89	0.000	4.32	0.00
25.72	0.000	6.65	0.00
27.55	0.000	6.94	0.00
29.38	0.000	6.64	0.00
31.21	0.000	4.02	0.00
33.04	0.000	5.92	0.00
34.87	0.000	6.16	0.00
36.70	0.000	6.27	0.00
37.57	0.048	2.26	0.96
34.60	0.240	0.51	4.80
35.55	0.044	0.16	0.88
36.92	0.023	2.72	0.46
38.71	0.002	1.52	0.04
38.82	0.086	3.27	1.72
40.59	0.003	7.07	0.06
41.88	0.027	11.72	0.54
40.83	0.144	5.50	2.88
